version,modo,resolucion,hilos,computo_ms,computo_std,total_ms,total_std
gpu,imagen,512,0,1.69,0.05338539126015654,559.702,827.9005317488326
gpu,imagen,1024,0,5.811999999999999,0.28682747427678557,567.774,472.32464892275095
gpu,imagen,2048,0,21.49,0.08573214099740989,1087.2040000000002,25.54620676343157
gpu,imagen,4096,0,90.468,3.6562234614421483,4017.028,74.7569991372045
gpu,video,512,0,585.8333333333334,20.84474354203799,1348.2166666666667,1032.9097322773823
gpu,video,1024,0,2172.066666666667,46.56332605531224,2327.9066666666663,46.36849936469075
gpu,video,2048,0,8905.266666666666,34.679292572561614,9142.103333333334,68.08224903257226
gpu,video,4096,0,35839.23333333334,123.52183342766743,36104.96333333333,119.35754870695425
omp,imagen,512,1,1851.64,22.336920109988384,1854.6760000000002,22.443625598374183
omp,imagen,512,2,923.1,5.754997827975291,926.6659999999999,5.719312021563432
omp,imagen,512,4,493.03999999999996,3.22924139698476,496.654,3.2496584435906564
omp,imagen,512,8,308.82000000000005,2.156849554326862,312.338,2.283302432880925
omp,imagen,512,16,195.12,6.17227672743211,198.714,6.007422908369274
omp,imagen,512,20,159.06,9.104284705565831,162.91799999999998,8.914239732024262
omp,imagen,1024,1,7362.539999999999,32.178999362938406,7367.028,32.16647898045437
omp,imagen,1024,2,3697.54,31.91916352287456,3701.9880000000003,31.83324787074034
omp,imagen,1024,4,1982.4,8.272544953035927,1987.116,8.34204890899117
omp,imagen,1024,8,1243.8,6.5829324772474385,1248.5880000000002,6.28131912897284
omp,imagen,1024,16,769.14,28.943272102511134,773.992,29.104334213309148
omp,imagen,1024,20,628.72,25.06645168347524,633.284,25.132574082254298
omp,imagen,2048,1,28762.82,241.3154615850356,28770.771999999997,241.5259399526265
omp,imagen,2048,2,14446.62,29.41584606976272,14454.336,29.230382823356916
omp,imagen,2048,4,7296.12,11.9514434274692,7303.88,12.026098702405442
omp,imagen,2048,8,3794.1800000000003,0.9444575162493262,3802.542,0.9704998712004399
omp,imagen,2048,16,2283.8599999999997,236.27754442604146,2292.1760000000004,236.81343211481908
omp,imagen,2048,20,2247.06,34.823670111003416,2256.3540000000003,34.83031337786078
omp,imagen,4096,1,116184.81999999999,400.15525986797036,116207.68000000001,399.65546862265546
omp,imagen,4096,2,58098.46,87.71213143003386,58120.978,87.95589303736439
omp,imagen,4096,4,29269.46,19.46761413219428,29292.147999999997,18.75611153731076
omp,imagen,4096,8,16754.04,856.618878498483,16779.358,857.4117374225752
omp,imagen,4096,16,10320.960000000001,13.96201991117372,10347.516,16.490919622628997
omp,imagen,4096,20,8866.619999999999,34.23539104494113,8895.194,33.495968115581306
omp,video,512,1,14784.800000000001,272.2066678095892,15013.730000000001,271.88520904970227
omp,video,512,2,7382.8,89.25710055788291,7609.509999999999,90.86274649161803
omp,video,512,4,3722.0333333333333,6.823733093647154,3940.9533333333334,0.9447927462323423
omp,video,512,8,2227.5666666666666,18.34838775841993,2470.5133333333333,19.497285281118902
omp,video,512,16,1620.3,14.141782065920843,1859.5166666666667,16.039919991488013
omp,video,512,20,1905.6666666666667,248.62615174863103,2211.0400000000004,297.73610916380306
omp,video,1024,1,59036.93333333333,304.6152545972241,59273.193333333336,307.15340146795444
omp,video,1024,2,30336.3,1018.7915243071067,30565.966666666664,1013.1447563074744
omp,video,1024,4,16205.800000000001,911.5612815384363,16449.63666666667,921.7076695098792
omp,video,1024,8,11318.1,47.36528264456932,11630.163333333332,43.27407692063857
omp,video,1024,16,8835.333333333334,16.821811238191607,9190.186666666666,12.568135634745122
omp,video,1024,20,8622.533333333333,8.18372368383433,8989.256666666666,2.450680177691546
omp,video,2048,1,246464.2666666667,358.5350378043108,246732.12666666668,367.5046340297454
omp,video,2048,2,121146.59999999999,3482.253900852147,121416.62666666666,3483.535332249891
omp,video,2048,4,68976.66666666667,827.7421418130969,69273.28,835.0137242584694
omp,video,2048,8,45371.1,31.49110985659089,45725.29666666667,28.351265109923858
omp,video,2048,16,35720.066666666666,60.70768759665326,36114.4,60.15419769226053
omp,video,2048,20,34894.799999999996,54.34418092123426,35310.85,51.60047771096599
omp,video,4096,1,966442.5,,966874.22,
omp,video,4096,2,498075.5,,498534.24,
omp,video,4096,4,301726.8,,302210.61,
omp,video,4096,8,182181.2333333333,315.87773478569824,182693.52333333332,323.2482220110828
omp,video,4096,16,143356.43333333335,180.99326875143527,143914.22666666665,179.35342325511866
omp,video,4096,20,145201.36666666667,1298.111190666402,145807.97,1313.1554796367277
serial,imagen,512,1,1818.64,23.52079930614611,1821.984,23.063300501012492
serial,imagen,1024,1,7238.74,40.0244050549158,7242.4259999999995,39.97934254086729
serial,imagen,2048,1,28946.78,26.071862227312963,28953.840000000004,26.091999731718744
serial,imagen,4096,1,114157.23999999999,2230.313933732193,114178.95800000001,2230.1290329306044
serial,video,512,1,14068.199999999999,272.8275829163901,14291.033333333333,267.8231405859727
serial,video,1024,1,58391.73333333334,1136.722852472548,58624.85333333333,1132.6814437136861
serial,video,2048,1,236870.96666666667,2216.7493550993413,237138.94333333336,2217.8832127128076
serial,video,4096,1,966442.5,,966874.22,
