version,modo,resolucion,hilos,rep,frames,computo_ms,total_ms
gpu,video,512,0,1,10,567.3,2540.88
gpu,video,512,0,2,10,581.8,743.63
gpu,video,512,0,3,10,608.4,760.14
gpu,video,1024,0,1,10,2225.4,2381.42
gpu,video,1024,0,2,10,2139.5,2299.64
gpu,video,1024,0,3,10,2151.3,2302.66
gpu,video,2048,0,1,10,8872.8,9070.20
gpu,video,2048,0,2,10,8901.2,9150.53
gpu,video,2048,0,3,10,8941.8,9205.58
gpu,video,4096,0,1,10,35697.3,35968.97
gpu,video,4096,0,2,10,35922.4,36192.34
gpu,video,4096,0,3,10,35898.0,36153.58
