version,modo,resolucion,hilos,rep,computo_ms
serial,imagen,512,1,1,1821.7
serial,imagen,512,1,2,1796.6
serial,imagen,512,1,3,1792.5
serial,imagen,1024,1,1,7128.7
serial,imagen,1024,1,2,7320.6
serial,imagen,1024,1,3,7230.4
serial,imagen,2048,1,1,28972.5
serial,imagen,2048,1,2,28937.4
serial,imagen,2048,1,3,28826.3
omp,imagen,512,1,1,1827.4
omp,imagen,512,1,2,1806.5
omp,imagen,512,1,3,1843.1
omp,imagen,512,2,1,918.9
omp,imagen,512,2,2,901.5
omp,imagen,512,2,3,901.9
omp,imagen,512,4,1,458.6
omp,imagen,512,4,2,455.0
omp,imagen,512,4,3,462.5
omp,imagen,512,8,1,240.5
omp,imagen,512,8,2,242.2
omp,imagen,512,8,3,239.0
omp,imagen,512,16,1,129.6
omp,imagen,512,16,2,129.8
omp,imagen,512,16,3,129.6
omp,imagen,512,20,1,104.3
omp,imagen,512,20,2,111.1
omp,imagen,512,20,3,105.3
omp,imagen,1024,1,1,7245.7
omp,imagen,1024,1,2,7227.4
omp,imagen,1024,1,3,7190.0
omp,imagen,1024,2,1,3613.5
omp,imagen,1024,2,2,3648.1
omp,imagen,1024,2,3,3610.1
omp,imagen,1024,4,1,1821.0
omp,imagen,1024,4,2,1829.2
omp,imagen,1024,4,3,1824.4
omp,imagen,1024,8,1,954.4
omp,imagen,1024,8,2,955.8
omp,imagen,1024,8,3,958.1
omp,imagen,1024,16,1,518.4
omp,imagen,1024,16,2,518.7
omp,imagen,1024,16,3,517.8
omp,imagen,1024,20,1,435.2
omp,imagen,1024,20,2,429.2
omp,imagen,1024,20,3,430.4
omp,imagen,2048,1,1,29070.0
omp,imagen,2048,1,2,28853.9
omp,imagen,2048,1,3,28964.4
omp,imagen,2048,2,1,14384.9
omp,imagen,2048,2,2,14386.4
omp,imagen,2048,2,3,14435.4
omp,imagen,2048,4,1,7250.8
omp,imagen,2048,4,2,7239.7
omp,imagen,2048,4,3,7255.5
omp,imagen,2048,8,1,3811.4
omp,imagen,2048,8,2,3809.1
omp,imagen,2048,8,3,3806.2
omp,imagen,2048,16,1,2171.5
omp,imagen,2048,16,2,2091.5
omp,imagen,2048,16,3,2160.0
omp,imagen,2048,20,1,1810.4
omp,imagen,2048,20,2,1818.6
omp,imagen,2048,20,3,1828.5
